,BoroName,NTAName,Longitude,Latitude
0,Brooklyn,East Williamsburg,-73.947831,40.706812
1,Brooklyn,East Williamsburg,-73.945162,40.719097
2,Brooklyn,East Williamsburg,-73.945783,40.702976
3,Brooklyn,East Williamsburg,-73.940836,40.720195
4,Brooklyn,Fort Greene,-73.969795,40.69344
5,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,-73.992056,40.689488
6,Brooklyn,Brooklyn Heights,-73.992675,40.689883
7,Brooklyn,Brooklyn Heights,-73.991491,40.696791
8,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,-73.987569,40.690251
9,Brooklyn,Fort Greene,-73.969239,40.68965
10,Brooklyn,Bedford-Stuyvesant (West),-73.945377,40.69027
11,Brooklyn,Bedford-Stuyvesant (East),-73.934949,40.6794
12,Brooklyn,Bedford-Stuyvesant (West),-73.955264,40.680972
13,Brooklyn,Bedford-Stuyvesant (East),-73.943295,40.696135
14,Brooklyn,Bedford-Stuyvesant (West),-73.952319,40.695092
15,Brooklyn,Bushwick (West),-73.923621,40.699429
16,Brooklyn,Bushwick (East),-73.909371,40.691476
17,Brooklyn,Bushwick (East),-73.911115,40.699353
18,Brooklyn,South Williamsburg,-73.942323,40.700867
19,Brooklyn,Cypress Hills,-73.87189,40.68174
20,Brooklyn,Bedford-Stuyvesant (West),-73.94498,40.686923
21,Brooklyn,Sunset Park (Central),-74.018179,40.640598
22,Brooklyn,Sunset Park (Central),-74.009731,40.635695
23,Brooklyn,Gravesend (West),-73.993389,40.602183
24,Brooklyn,Bensonhurst,-73.995744,40.613347
25,Brooklyn,Bensonhurst,-73.999659,40.615498
26,Brooklyn,Bath Beach,-74.013562,40.610846
27,Brooklyn,Bath Beach,-74.007528,40.61033
28,Brooklyn,Bensonhurst,-73.993747,40.602168
29,Brooklyn,Coney Island-Sea Gate,-73.968762,40.580004
30,Brooklyn,Brighton Beach,-73.959784,40.581814
31,Brooklyn,Gravesend (South),-73.9608,40.591306
32,Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,-73.94078,40.593947
33,Brooklyn,Gravesend (East)-Homecrest,-73.967383,40.605417
34,Brooklyn,Madison,-73.937532,40.600981
35,Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,-73.933006,40.600058
36,Brooklyn,Crown Heights (North),-73.930756,40.670654
37,Brooklyn,Crown Heights (North),-73.923162,40.670237
38,Brooklyn,East New York (North),-73.894842,40.669359
39,Brooklyn,East New York (North),-73.895303,40.669142
40,Brooklyn,East New York-New Lots,-73.894063,40.664333
41,Brooklyn,Madison,-73.941684,40.600522
42,Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,-73.955863,40.587719
43,Brooklyn,Marine Park-Mill Basin-Bergen Beach,-73.907818,40.619706
44,Brooklyn,Crown Heights (South),-73.932018,40.663624
45,Brooklyn,East New York-City Line,-73.869818,40.673154
46,Brooklyn,East New York (North),-73.888463,40.670312
47,Brooklyn,East New York-New Lots,-73.891114,40.662639
48,Brooklyn,East New York-New Lots,-73.87426,40.669341
49,Brooklyn,East New York (North),-73.897034,40.678279
50,Brooklyn,East New York-New Lots,-73.893066,40.661594
51,Brooklyn,East New York-New Lots,-73.881396,40.666855
52,Brooklyn,East New York-New Lots,-73.889459,40.663368
53,Brooklyn,Flatbush,-73.952576,40.633393
54,Brooklyn,Marine Park-Mill Basin-Bergen Beach,-73.91765,40.624567
55,Brooklyn,Canarsie,-73.91369,40.635384
56,Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,-73.941036,40.58395
57,Brooklyn,Williamsburg,-73.960012,40.713715
58,Brooklyn,Clinton Hill,-73.96066,40.690373
59,Brooklyn,Fort Greene,-73.978187,40.693521
60,Brooklyn,Crown Heights (North),-73.933086,40.675242
61,Brooklyn,Crown Heights (North),-73.931144,40.670511
62,Brooklyn,Crown Heights (North),-73.941361,40.677425
63,Brooklyn,Fort Greene,-73.978616,40.687912
64,Queens,Ozone Park (North),-73.866056,40.683101
65,Brooklyn,East New York-City Line,-73.866093,40.678598
66,Brooklyn,Cypress Hills,-73.872171,40.683367
67,Brooklyn,Bedford-Stuyvesant (East),-73.93586,40.687985
68,Brooklyn,Bedford-Stuyvesant (East),-73.937416,40.693049
69,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,-73.9834,40.699894
70,Brooklyn,Clinton Hill,-73.963652,40.690028
71,Brooklyn,Bedford-Stuyvesant (West),-73.946403,40.695417
72,Brooklyn,Prospect Heights,-73.973259,40.677844
73,Brooklyn,Midwood,-73.960355,40.618049
74,Brooklyn,Fort Greene,-73.97272,40.693311
75,Brooklyn,Crown Heights (North),-73.935889,40.675394
76,Brooklyn,East Flatbush-Remsen Village,-73.914073,40.656689
77,Brooklyn,East Flatbush-Erasmus,-73.950978,40.638519
78,Brooklyn,East Flatbush-Remsen Village,-73.92372,40.65631
79,Brooklyn,Brownsville,-73.908771,40.662315
80,Brooklyn,Brownsville,-73.917328,40.668408
81,Brooklyn,Ocean Hill,-73.903579,40.677807
82,Brooklyn,Ocean Hill,-73.917047,40.671352
83,Brooklyn,Ocean Hill,-73.913731,40.675194
84,Brooklyn,Brownsville,-73.907183,40.656156
85,Brooklyn,Brownsville,-73.902754,40.665323
86,Brooklyn,East New York (North),-73.891841,40.669946
87,Brooklyn,East New York (North),-73.881381,40.671489
88,Brooklyn,East New York-City Line,-73.869618,40.673053
89,Brooklyn,Midwood,-73.96486,40.624876
90,Brooklyn,Borough Park,-73.99297,40.634325
91,Brooklyn,Greenpoint,-73.946142,40.731627
92,Brooklyn,Greenpoint,-73.954194,40.730445
93,Brooklyn,East Williamsburg,-73.940148,40.715978
94,Brooklyn,Bedford-Stuyvesant (East),-73.935251,40.679686
95,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,-73.982605,40.698276
96,Brooklyn,Fort Greene,-73.979409,40.693423
97,Brooklyn,Windsor Terrace-South Slope,-73.971993,40.649777
