Entrance Description,Routes,Entrance Latitude,Entrance Longitude
25th St - 4th Ave & 25th St (SW),R,40.660489,-73.99822
25th St - 4th Ave & 25th St (SE),R,40.660323,-73.997952
36th St - 4th Ave & 36th St (NW),"N,R",40.654676,-74.004306
36th St - 4th Ave & 36th St (NE),"N,R",40.654365,-74.004113
36th St - 4th Ave & 36th St (NW),"N,R",40.65449,-74.004499
45th St - 4th Ave & 45th St (NE),R,40.649389,-74.009333
45th St - 4th Ave & 45th St (NW),R,40.649424,-74.009728
45th St - 4th Ave & 45th St (NE),R,40.649265,-74.009457
45th St - 4th Ave & 45th St (NW),R,40.649546,-74.009602
53rd St - 4th Ave & 53rd St (SW),R,40.644756,-74.014586
53rd St - 4th Ave & 53rd St (SW),R,40.644653,-74.01469
53rd St - 4th Ave & 53rd St (SE),R,40.644493,-74.014419
53rd St - 4th Ave & 53rd St (SE),R,40.644601,-74.014309
53rd St - 4th Ave & 52nd St (NW),R,40.645619,-74.013688
59th St - 4th Ave & 59th St (NW),"N,R",40.641606,-74.017897
59th St - 4th Ave & 59th St (NE),"N,R",40.641435,-74.017561
59th St - 4th Ave & 59th St (NW),"N,R",40.641778,-74.017722
59th St - 4th Ave & 59th St (NE),"N,R",40.641633,-74.017362
59th St - 4th Ave & 60th St (SW),"N,R",40.640682,-74.018857
59th St - 4th Ave & 60th St (SE),"N,R",40.640501,-74.018531
77th St - 4th Ave & 77th St (NW),R,40.62955,-74.025731
77th St - 4th Ave & 77th St (NE),R,40.629503,-74.025452
77th St - 4th Ave & 76th St (NW),R,40.630221,-74.025459
86th St - 4th Ave & 86th St (SE),R,40.622583,-74.028315
86th St - 4th Ave & 86th St (SW),R,40.622656,-74.028547
86th St - 4th Ave & 85th St (SW),R,40.623498,-74.028204
95th St - 4th Ave & 95th St (SW),R,40.616021,-74.031383
95th St - 5th Ave & 95th St (NE),R,40.615893,-74.03086
95th St - 4th Ave & 95th St (NW),R,40.616189,-74.031234
95th St - 4th Ave & 93th St (SW),R,40.617587,-74.030696
95th St - 4th Ave & 93th St (NE),R,40.617363,-74.030404
9th St - 4th Ave & 9th St (NE),"F,G,R",40.670387,-73.98848
9th St - 4th Ave & 9th St (NW),"F,G,R",40.670538,-73.988778
Atlantic Av-Barclays Ctr - 4th Ave & Pacific St (NE),"B,Q,D,N,R,2,3,4.0,5.0",40.683805,-73.978487
Bay Ridge Av - 4th Ave & Bay Ridge Ave (NW),R,40.634827,-74.02358
Bay Ridge Av - 4th Ave & Bay Ridge Ave (NE),R,40.634768,-74.023339
Bay Ridge Av - 4th Ave & 68th St (NW),R,40.635468,-74.023313
DeKalb Av - Flatbush Ave & De Kalb Ave (SE),"B,Q,R",40.689804,-73.981164
DeKalb Av - Flatbush Ave & De Kalb Ave (SW),"B,Q,R",40.68981,-73.981651
DeKalb Av - Flatbush Ave & De Kalb Ave (SE),"B,Q,R",40.689817,-73.981082
DeKalb Av - Flatbush Ave & De Kalb Ave (SE),"B,Q,R",40.68974,-73.981156
DeKalb Av - Flatbush Ave & Fleet St (NW),"B,Q,R",40.69154,-73.982565
DeKalb Av - Flatbush Ave & Fleet St (NE),"B,Q,R",40.691562,-73.982048
Pacific St - 4th Ave & Pacific St (NW),"B,Q,D,N,R,2,3,4.0,5.0",40.683905,-73.978879
Pacific St - 4th Ave & Pacific St (NE),"B,Q,D,N,R,2,3,4.0,5.0",40.683928,-73.978412
Prospect Av - 4th Ave & Prospect Ave (NE),R,40.665299,-73.992729
Prospect Av - 4th Ave & Prospect Ave (SW),R,40.665058,-73.993002
Prospect Av - 4th Ave & Prospect Ave (SE),R,40.665269,-73.993245
Union St - 4th Ave & Union St (SE),R,40.677171,-73.98302
Union St - 4th Ave & Union St (SE),R,40.677001,-73.983133
Union St - 4th Ave & Union St (SW),R,40.677279,-73.983327
Union St - 4th Ave & Union St (SW),R,40.677135,-73.983416
30 Av-Grand Av - 31st St & 30th Ave (SE),"N,Q",40.7667,-73.921406
30 Av-Grand Av - 31st St & 30th Ave (NE),"N,Q",40.766963,-73.921192
30 Av-Grand Av - 31st St & 30th Ave (SW),"N,Q",40.766787,-73.921629
30 Av-Grand Av - 31st St & 30th Ave (NW),"N,Q",40.767052,-73.921409
36 Av-Washington Av - 31st St & 36th Ave (SE),"N,Q",40.756379,-73.929766
36 Av-Washington Av - 31st St & 36th Ave (SW),"N,Q",40.756478,-73.929993
36 Av-Washington Av - 31st St & 36th Ave (NW),"N,Q",40.756796,-73.92974
