"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Shelter_ID","Corner","On_Street","Cross_Stre","Longitude","Latitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac"
"POINT (-73.947831 40.706812)","3","Brooklyn","301","34","53","18","7","BR0003","SE","MONTROSE AV","LORIMER ST","-73.947831","40.706812","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.945162 40.719097)","3","Brooklyn","301","34","50","18","7","BR0014","NE","GRAHAM AV","HERBERT ST","-73.945162","40.719097","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.945783 40.702976)","3","Brooklyn","301","34","53","18","7","BR0026","NE","BROADWAY","LEONARD ST","-73.945783","40.702976","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.940836 40.720195)","3","Brooklyn","301","34","50","18","7","BR0028","SW","KINGSLAND AV","HERBERT ST","-73.940836","40.720195","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.969795 40.69344)","3","Brooklyn","302","35","57","25","7","BR0040","NE","VANDERBILT AV","MYRTLE AV","-73.969795","40.69344","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.992056 40.689488)","3","Brooklyn","302","33","52","26","10","BR0049","NW","ATLANTIC AV","COURT ST","-73.992056","40.689488","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.992675 40.689883)","3","Brooklyn","302","33","52","26","10","BR0050","SE","ATLANTIC AV","COURT ST","-73.992675","40.689883","Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.991491 40.696791)","3","Brooklyn","302","33","52","26","10","BR0055","SW","Cadman Plz West","CLARK ST","-73.991491","40.696791","Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.987569 40.690251)","3","Brooklyn","302","33","52","26","10","BR0058","SE","LIVINGSTON ST","SMITH ST","-73.987569","40.690251","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.969239 40.68965)","3","Brooklyn","302","35","57","25","7","BR0062","NW","VANDERBILT AV","DEKALB AV","-73.969239","40.68965","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.945377 40.69027)","3","Brooklyn","303","36","56","25","8","BR0085","SW","TOMPKINS AV","LAFAYETTE AV","-73.945377","40.69027","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.934949 40.6794)","3","Brooklyn","303","36","56","20","8","BR0097","SE","TROY AV","FULTON ST","-73.934949","40.6794","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.955264 40.680972)","3","Brooklyn","303","36","57","25","8","BR0105","SE","FULTON ST","FRANKLIN AV","-73.955264","40.680972","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
