,Division,Line,Station Name,Station Latitude,Station Longitude,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,Exit Only,Vending,Staffing,Staff Hours,ADA,ADA Notes,Free Crossover,North South Street,East West Street,Corner,Entrance Latitude,Entrance Longitude,Station Location,Entrance Location
0,BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,NONE,,False,,False,4th Ave,25th St,SW,40.660489,-73.99822,"{'longitude': '-73.998091', 'latitude': '40.660397'}","{'longitude': '-73.99822', 'latitude': '40.660489'}"
1,BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,25th St,SE,40.660323,-73.997952,"{'longitude': '-73.998091', 'latitude': '40.660397'}","{'longitude': '-73.997952', 'latitude': '40.660323'}"
2,BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NW,40.654676,-74.004306,"{'longitude': '-74.003549', 'latitude': '40.655144'}","{'longitude': '-74.004306', 'latitude': '40.654676'}"
3,BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NE,40.654365,-74.004113,"{'longitude': '-74.003549', 'latitude': '40.655144'}","{'longitude': '-74.004113', 'latitude': '40.654365'}"
4,BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NW,40.65449,-74.004499,"{'longitude': '-74.003549', 'latitude': '40.655144'}","{'longitude': '-74.004499', 'latitude': '40.65449'}"
5,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NE,40.649389,-74.009333,"{'longitude': '-74.010006', 'latitude': '40.648939'}","{'longitude': '-74.009333', 'latitude': '40.649389'}"
6,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NW,40.649424,-74.009728,"{'longitude': '-74.010006', 'latitude': '40.648939'}","{'longitude': '-74.009728', 'latitude': '40.649424'}"
7,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NE,40.649265,-74.009457,"{'longitude': '-74.010006', 'latitude': '40.648939'}","{'longitude': '-74.009457', 'latitude': '40.649265'}"
8,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NW,40.649546,-74.009602,"{'longitude': '-74.010006', 'latitude': '40.648939'}","{'longitude': '-74.009602', 'latitude': '40.649546'}"
9,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SW,40.644756,-74.014586,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.014586', 'latitude': '40.644756'}"
10,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SW,40.644653,-74.01469,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.01469', 'latitude': '40.644653'}"
11,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SE,40.644493,-74.014419,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.014419', 'latitude': '40.644493'}"
12,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SE,40.644601,-74.014309,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.014309', 'latitude': '40.644601'}"
13,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,False,,True,4th Ave,52nd St,NW,40.645619,-74.013688,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.013688', 'latitude': '40.645619'}"
14,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NW,40.641606,-74.017897,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.017897', 'latitude': '40.641606'}"
15,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NE,40.641435,-74.017561,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.017561', 'latitude': '40.641435'}"
16,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NW,40.641778,-74.017722,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.017722', 'latitude': '40.641778'}"
17,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NE,40.641633,-74.017362,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.017362', 'latitude': '40.641633'}"
18,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,False,,True,4th Ave,60th St,SW,40.640682,-74.018857,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.018857', 'latitude': '40.640682'}"
